Vocabulary;Translation
A blanket of snow;Une couche de neige
A blizzard;Une tempête de neige
A cloud/cloudy;Un nuage/nuagueux
A cold spell;Une vague de froid
A cool breeze;Une brise fraîche
A dearth;Un manque
A downpour;Un déluge, une averse
A drizzle/ it's drizzling;La bruine/il bruine
A drop of rain;Une goutte de pluie
A drought;Une sécheresse
A flash flood;Une crue subite
A flood;Une inondation
A fog/foggy;Un brouillard
A frost bite;Une engelure
A gale;Un coup de vent, une tempête
A hailstone;Un grêlon
A heatstroke;Une insolation
A heatwave;Une vague de chaleur
A heavy rain;Une forte pluie
A hurricane;Un ouragan
A lightening;Un éclair
A mild climate;Un climat tempéré
A mist/misty;Une brume/brumeux
A muddy swamp;Un marécage boueux
A puddle;Une flaque
A rainbow;Un arc-en-ciel
A shattering storm;Une tempête ravageuse
A shower;Une averse
A sleet/to sleet;La neige fondue
A smog;Un nuage de pollution
A solarium;Un solarium (espace pour bronzer)
A sunray;Un rayon de soleil
A sunset/the sun is setting;Un coucher de soleil/le soleil se couche
A thick fog;Un brouillard épais
 tornad;ne tornad
A tropical storm;Une tempête tropicale
Air conditioning;L'air conditionné
Bitter/ bitterly cold;Une vague de froid
Boiling hot;Bouillir de chaleur
Chilly;Froid, glacial
Dawn;Aube
Dusk;Crépuscule
Frost;Gel
Gloomy weather;Temps déprimant
Hail/to hail;Grêle
It's freezing (cold);On se gêle, il fait extrêmement froid.
It's raining cats and dogs;Il pleut des cordes
Long-range forecast;La météo
Overcast;Sombre
Rain/Rainy/It's raining;Pluie/pluvieux/il pleut
Scorching;Torride, caniculaire
Snow/snowy/it's snowing;Neige/neigeux/il neige
Sunny;Ensoleillé
Sunny spells;Une vague de chaleur
The dew;La rosée
The monsoon;La mousson
The sun comes out;Le soleil sort
The weather forecast;Le bulletin météorologique
Thunder;Tonnerre
To be rained off;Etre annulé pour cause de pluie
To clear up;Nettoyer, faire le vide
To dress up warm;S'habiller chaudement
To get caught in the rain;Etre pris sous la pluie
To get drenched;Etre trempé
To go below zero;Descendre sous zéro
To pour down;Pleuvoir à verse
To retain heat;Retenir la chaleur
Torrential rain;La pluie torrentielle
Wind is blowing;Le vent souffle
